created_at,city,retweet_count,favorite_count,followers_count,friends_count,listed_count,favorites_count,statuses_count,text,negative,neutral,positive,compound
2020-10-09 21:34:09-06:00,cheyenne,0,0,139,123,0,11,759,Me rn ,0.0,1.0,0.0,0.0
2020-10-09 21:33:19-06:00,cheyenne,0,0,139,123,0,11,759,Jimmy finna make a game winner?,0.0,0.568,0.432,0.5859
2020-10-09 21:32:54-06:00,cheyenne,0,0,139,123,0,11,759,I gotta pee omg,0.0,1.0,0.0,0.0
2020-10-09 21:32:31-06:00,cheyenne,0,0,139,123,0,11,759,Davis still awake,0.0,1.0,0.0,0.0
2020-10-09 21:31:37-06:00,cheyenne,0,0,139,123,0,11,759,This men really battling,0.444,0.556,0.0,-0.3384
2020-10-09 21:30:50-06:00,cheyenne,0,0,139,123,0,11,759, LMFAO!,0.0,0.0,1.0,0.5848
2020-10-09 21:30:07-06:00,cheyenne,0,1,135,134,0,4194,817, That man jimmy not goin😭,0.0,0.733,0.267,0.3724
2020-10-09 21:28:42-06:00,cheyenne,0,0,139,123,0,11,759,Jimmy ass lmfaooo,0.636,0.364,0.0,-0.5423
2020-10-09 21:28:34-06:00,cheyenne,0,1,2695,1445,45,80037,91232,   Definitely bad movie lol but Jack and Jill is worse lol,0.322,0.302,0.375,0.0129
2020-10-09 21:28:30-06:00,cheyenne,0,0,139,123,0,11,759,Don’t lose in these jersey bitches ! Let’s get it !,0.444,0.556,0.0,-0.8011
2020-10-09 21:27:55-06:00,cheyenne,0,0,139,123,0,11,759,LEBALD BITCH. That’s my guy,0.531,0.469,0.0,-0.6739
2020-10-09 21:27:38-06:00,cheyenne,0,0,278,297,2,3105,10609,    It was fantastic Metera experience. This match was so goo… ,0.0,0.714,0.286,0.5574
2020-10-09 21:27:25-06:00,cheyenne,0,0,139,123,0,11,759,Girl please end this shit . We don’t want another game,0.237,0.526,0.237,-0.25
2020-10-09 21:27:03-06:00,cheyenne,0,0,179,1072,0,9831,4547,"if we're being honest nothing that I've voted for since 1986 has amounted to shit, unless it was Clinton or Obama.… ",0.139,0.734,0.127,-0.0772
2020-10-09 21:25:57-06:00,cheyenne,0,0,23,308,0,343,144,Got to make a copycat video #420doggface208 ,0.0,1.0,0.0,0.0
2020-10-09 21:25:54-06:00,cheyenne,0,0,139,123,0,11,759,One thing about a white man in the NBA..... Them bitches can shoot,0.364,0.636,0.0,-0.743
2020-10-09 21:24:56-06:00,cheyenne,0,4,1062,84,4,76,2959,T-Birds WIN!!! T-Birds beat the Indians 41-18 at the Capital Bowl! Way to Go T-Birds! 💙🏈🖤 ,0.0,0.778,0.222,0.7718
